text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions
D2FB14A7C43B,"Albert Schweitzer said, ""Example is not the main thing in influencing others; it is the only thing."" However, it is a good example by your own behavior the best way to influence other people. People may follow every step you do, because they want to success in life by being influences by others. It is the main thing to show people that they can do what they think they are not able to do.

First reason is, People may follow every step you do, because they want to success in life by being influence by others. For example, my friend

Generic_Name has a son, who according to her he wants to be a lawyer. Generic_Name husband who's name is Generic_Name is a lawyer. Although their son Generic_Name is taking only math classes in collage, which it has nothing to do with laws. Generic_Name and Generic_Name want to influence Generic_Name to become a lawyer. But Generic_Name is being influence by his Algebra class teacher. Generic_Name has a very high score on math, and his Algebra teacher believe that Generic_Name can be a math teacher in a college. Generic_Name teacher knows how hard he works to do everything right and how his behavior it is showed.

Another reason is, It is the main thing to show people that they can do what they think they are not able to do. For example, when my brother was nine years old he wanted to be a Pilot, but he was just really scared of heights. When my brother graduated from high school he wanted to go to Army. Somehow my mom find out that he really did not wanted to do that what he really wanted to do was being a Pilot. My mom is a Flight Attend and she told my brother that some people will say you are too weak to do this and that, but they actually does not know what you are capable to do. With those words my mom influence my brother, and now he is a Pilot and he works for the Air Force. My mom gave him an example that no one believed on her the only person who believed on her was her mom. As my mom says, "" Don't let other people think you are not able to do things, which they we're not able to do.""

Some people may think that there are better ways to influence others. However, it can be true, but people get more influence by examples. There are not many ways for example, if someone who is very important who wants to influence someone else who is not that important to be come important as they are. Does not mean this person is going to have the same luck to become really important. Do not let other people influence you by other ways, let them give you an example of how you are going to success.

In conclusion, It is a good example by your own behavior the best way to influence other people. To teach them what it is good and what it is wrong to do. Given your own examples and teach them how to behave. Dot let people think that example is not the main thing to influence others.",3.0,3.0,3.0,2.5,2.0,2.5
F45967CEFA55,"Former British Prime Minister Winston Churchill stated a quote that said, ""success consists of going from failure to failure with out loss."" There are 3 reasons why I agree with this statement. The first reason is, failing will want to make you push for a success, the second reason being that you'll have more of enthusiasm when you're find more ways to succesed, and the third reason is achiving for higher goals.

I agree strongly with this prompt and Winston Chruchill's quote, yet some people think it's something at may not be true and think less of them self. In the first paragraph I will explain my first reasoning with a strong example of it.

First, reasoning to this prompt would be, falling will want to make you push for success. Even though not many people think that is the way that many of our past inventors had learned. Albert Enstine was one of the smartest people out there, yet he had come face to face with failure many times in his life. The only way he learned was to try many other different ways to solve his problems. He used failure as an insperation to to keep trying like our first inventor of the light blub. Even though many people found it frusterated and diffivult when they've failed, which pushes on to my second reasoning.

Next, the reason would be that many people think different about them selfs when they fail in something. Thomas Edison thought different, even though he had failed 100 times, he had not gave up. When he finally successed, he said a quote that is in my mind till today in this presnet day. That quote was ""I didn't fail 100 times, I found 100 ways that it didn't work."" Even though, Thomas Edison had failed he maintaned him self with a lot of enthusiasm, Failure is never an option, but finding a solution to it is a success.

Finally, the last and final reason is achiving for high goals that you want to reach. It don't matter what others may think of it or if you'll be able to achive or not. Show them that they are wrong even if you come to a failure don't stop, find a solution and fix it to make it better than before. You'll reach higher goals with higher potential then what you'll ever imagine. Then later on you will be able to do anything you put your mind to and demonstrate your knowlage to the world.

In conclusion, doubting yourself is not how you achive your success. Finding a way to solve it is achive your success. Get the insperation from the people who had once been in your spot and they done to successed to there goal. Even if failure is a role in life to find success it's the only way youll reach it. Failure is only a motivation to get you to successed.",4.0,3.0,4.0,3.5,3.0,3.0
5F1183463E9D,"Thinking ahead of time of what you want to do after high school before you start high school may or may not be a good idea. For example it might get you prepared for what classes you can take your first year of high school. Because high school is all about getting good grade and getting the help you need to become what you want to become in life. High school is where you get your real start to your future. And here are some reasons why.

Thinking about what you want after high school before you even start could be beneficial to you. For example for some it might come as motivation. As in they are at a low point in life where things arent going so great, they could think about what they want tot do and see them selves in the future becoming what they wanted to become. It could even benefit you your first year of high school like picking your classes. You would pick the classes that are most related to the career you want to pursue. Another big thing that is good about looking into what you want to do before high school is the collages as well. Some collages might have the the class you need to finish and major in what you are studying for. It is like a head start on one the classes you take in high school, two the rest of your high school years, three the collage you want to get into.

But there are always some downs to thinking and or knowing what you want to do before you even get to high school. Such as there might not be a class for what you want to major in. Or you might not be eligible for taking that class , they could be over booked in those classes. There might be mix ups with your schedule that may cause you not to get the class you wanted. Even when you have your mind set on one thing for your future your opinion may change over time it may even change completely. And it happens to a lot of students. They make up there minds and then maybe weeks later it may change into something else. There are also other issues with what you want to do in your future. Some students work full time jobs and its hard for those students to focus on one goal and keep up with school work , Sometimes even miss school just because of work. If you think about it even after graduating high school some still work and move on to collage and are still stuck in the mud with work and even harder homework and class work. So dont have a ride to school or even work. Money is a big issue as well. With having to pay for a car or even other life needs you might not be able to get into the collage you want to get into because of how expensive it is. There are student loans but you still have to pay that back and sometimes you can be late on payments but then that doubles and no one wants that.

High school is where your future really begins really. Because if you think about it is where you start learning about where to get your start , how to start , when to start . This is where we as students decide what we want to do in life and where we want to go with it . And if we chose to chance our dream that thats where we end p with hard work and dedication.                   ",3.0,3.0,3.5,4.0,4.0,3.5
4C17DB6FF2DC,"John Lubbock quotes on choosing your own character or letting influences form your is a passage I can live by.

For the reason of it being actually true because, sometimes things you see throughout your life would change your character. The people you look up to can can your character because you want to be just like them. but sometimes its not always a good change sometimes you can have a bad influence.

Things you see in life can change your character. Lets say you are in the streets and you get into a car accident then you are gonna have a chance to be afraid to drive a car. It can also be changed by a bad experience, lets say you are in an abusive relationship after that relationship ends you would think every girl/guy is an abusive person.

What if you are living in foster care and you never get adopted you will think that you will never among to nothing and be nothing your whole life.

The people you look up to can have a dramatic change in your character. Let's say your father is your biggest inspiration you will want to be just like him when your older and follow in his foot steps. But, if your inspiration isn't anyone in your family but it is a famous sport player you will grind your butt off just to be in the same team with them and hopefully play along side with that player. Newer influences these days are trough social media and movies and in my opinion those are the worst ones because they usually trying to sell you something or market something to their audience.

Sometimes its not always a good change sometimes you can have a bad influence. Having a bad influence can lead to a lot of trouble and you can even end up in jail for it. Let's say you look up to your father and he is a very toxic person and a violent person and you end up like him that's not a good thing. Also something that can happen is that you look up to a very bad very disturbing person and he likes to hurt people and then you start hurting people because you want to be just like him. Depending on who your inspiration is it will develop the way your character comes out.                  ",3.0,3.5,3.5,4.0,4.0,3.5
BF0AF86DFDE1,"I agree with the plan of having an afterschool homework club. Because some students have a hard time finishing homework by themselves and if teachers stay with the students to help them finish their homework that would be amazing because that would mean less students failing. Also some kids might not have computers or any electronic device in their houses. Although if their is no afterschool homework club that may be good because students cant get help from any teachers and that could be good because they can know that not everything in life is easy unless you are good at it or try your best and your hardest. Another good reason that I think might be good for having afterschool homework clubs is that sudnets get a chance to enteract with other students and they also get a chance to veiw or examine how the other students do their own homework.

Some kids migh take advantage of having afterschool homework club by cheating the answers off of somebody and then leaving. So I think if the afterschool homework club shouldn't let students look at each others work until they are done. And some kids may take it as fun club and talk through the whole thing. But there is always the kids that do what they are supposed to do. They do not play around,joke around, and distract anyone from doing what they are supposed to do.

So, at the end I think that there should be an afterschool homework club because there is more details to back it up then there is for backing up not having the afterschool homework program. And alot of kids could change their work habbit and not get as much as bad grades. And mostly kids who care about their grades would want to join so there is high chance that kid do what they are supposed to do. But not having an afterschool homework program would mean that kids that really need to improve their grades would have a chance to do so and would have a chance to finish then grade they're in with good grades to start of for their next year.",3.5,3.5,3.5,4.0,4.0,3.5
4E91C3BA11D0,"Imagine being a new sixth grade student in middle school and, not knowing the expectations nor, knowing anything about the place you are around. Elementary students should need to know what will go on in middle school and it's expectations. So explaining it will make it easier for sixth grade students.

once coming to middle school

First of all, students should know about the class room expectations. Middle school student should be respectful, responsible, and productive. Kids should know better than to play around ,or ignore teachers and ignore their work. Students should come to school ready to learn not to play around. Kids should be quiet while a teacher is talking and should also be silent while taking a test or quiz. They shouldn't be throwing stuff around the room or be yelling or screaming. When i used to talk i would get in trouble but, i would always listen to the teacher.

Second of all, students should know about halls and lockers expectations. While walking in the halls kids should be safe. Students should not run in the halls and, should not push and shove other kids. Because students could get injured. At your lockers you should get your things for the next class and not talk to your friends in the hallways. If you cant open you locker ask a teacher near by. But you shouldn't kick your locker. If i couldn't get my locker open i would just ask a teacher to help me. Don't kick or slam you locker respect the schools things because it provides you with the things you need to learn with.

Last but not least, you must know the lunch expectations. During in line to get your lunch you shouldn't be touching everything nor, keep a hold up in the line. Be productive and get your lunch fast then take a seat at you table. If you need anything raise your hand dont get up with out permission. Don't throw food at people pick up your trash once you leave and, dont make a mess. While eating you should stay in you own seat and not at others tables. Once i would go to lunch i would get my food fast then take a seat with my friends at my table. In the cafeteria it is super loud so try not to scream or yell because it will be extra louder if you do.

In conclusion this is why teaching kids about middle school is a good lesson to teach elementary school students. So that once they go to middle school they would be ready. The students would already know most of the school expectations and how things work around.",3.0,3.5,4.0,3.5,3.5,3.0
8149E792E505,"Some schools offer programs for students graduate in three years? students needs to go school for learn and be success in life in high school normally is four years but some schools give to students some programs for to graduate in three years. a lot people think four years on school is good because in that years you can take to much classes. I disagree with this statement all students need four years in high school for know what to do in the future and they do not have any problem in college

Students graduate in three years is not good because in four years you can learn more about that career you prefer to be in the future, you can take more opportunities for to be successful people think that is good because you can graduate one year early but some times is much better continues in high school for prepare yourself. in four years you take more classes and learning about it. For example student wants to graduate and wants to be a mechanic he needs to keep going in high school for four years he learn about that career he wants and another subjects.

Some people they do not like the idea for to graduate early because they do not think that is prepare for to go to college. College is a serious thing so all people need to prepare for to go there ,when you go to the college you have a idea that difficult be for you but not impossible . you need to pass all your classes in college but for that you need to study and try your best in high school that is the way for a good student .

Some people prefer graduate one year early , they has reasons, they wants to finish the career for to help the family or some people just finish the high school and go to work. is probably is the bigger reason why some people choose that opinion. for me both reason is good because you need to stay in school for to be successful and understand why some persons wants to graduate early they wants to help his/her family so both options that is very good.

Four years in high school is the bets option can you choose because you learn more, study more, and prepare more , for me that is the good way for to successful in life. Probably be more hard but you can do it, you need to try the best do yo have for in the future you will be a good person with a good job and can help your family. when help your family you are a good person and recognize that job was your parents did for you so keep going and do it a 4 years in high school this is good for success in life .",2.5,2.5,3.0,2.0,3.0,3.0
9C601D9FCB5F,"Technology is an important thing in our lives at this moment and it will be more important in the future. Humanity always try to look forward for what is better for our lives and make everything more easier. While some people say this is a good thing, some people think it's bad for our lives because people stop interacting face-to-face in public, they don't want to get out of the place where technology is at, and some might have an agressive behaivor when they told them technology is bad for them.

In the past people always met in the street, there was no technology were with a single ring we can saw our friends into a little screen and talk to them. Now, this problem became a bad thing in our society, people don't go outside to meet friends, or just enjoy how the city looks, they prefer to stay at home and talk to people that they don't know who they are. Some of these people might say that there's no difference when they talk to a stranger online because we used to talk strangers in the street;however, there's a risk when you talk to this people online and it's the fact that some of them used fake accounts to hack personal information and other things. When we used to meet strangers in the street, we saw how they behave and what they're doing, and that's how people made friends in the past, saw how they act and behave,but now Internet is the key of making a friend that we don't know if it's real.

When we were kids it was all fun to play outside: in the streets,going to a friends house, or even going to the park with them, but now things have change a lot since we were those kids who played in the streets. Now with the new technology people made video games, and now is the popular thing between kids and teenagers. All we have to do is to connect the device to the TV and just play, but some people play the whole day and they don't want to go outside to play any sport, or going to a friends house. When they go to school the most common topic between every kid is about video games, and that can affect their lives because playing all the time won't help anyone to study for an important test,or doing their homework. In the past when they created the first console it was a wonderful thing, but some kids didn't have the enough money to buy it, so instead of save money for a tiny console, they save money to eat something like an ice cream, a burguer, and go to attraction parks,but now we can see how the kids and the teenagers from now don't want to get out where technology is at.

Due to the amount of technology we have now develop, a new behaivor where if we prohibited them to use technology, they reach to the point where they become agressive. Families have issues when their kids became agressive just because the prohibited the use of technology, and this reaction is trendy right now in different parts of the world. Some doctors said that the reason why they react like that is because they are in an imaginary world where they can do whatever they want, until the parent try to take apart their""world"" to become a normal kid, but now that technology is in every single corner, it's hard to make a kid stop use technology. Even teenagers went to a ponit when they are playing video games they break everything they got on their sight, including the video game device that their parents bought for them.

Some people might say that technology is something positive in our live because we create artifacts that make our lives more simple;however, technology is bad in our lives because we stop acting like normal people and we want to make our lives more easy, and that can affect how our saciety can be in the future if we don't control the use of technology.",3.5,3.0,3.5,3.0,2.5,3.0
E91D1A0039C3,"Sometimes is really hard to get this opportunities. If students get the chance to learn about what they like they should take advantage of it. They might learn things that interested them. Although some students think this opportunities are useless, actually it opens a lot of doors at a young age to learn about the things they like. For some students this is a big privilege. Find out who they are.

A few of this students are not really insterested in this opportunities. They tend to think that is useless just because they don't have the program they are insterested in. Normally people get use to the things they like, and they don't want to learn new things. Sometimes is hard to see that learning about new things could give huge benefits.

Other students realize that it could be fun to learn about new things. If they are lucky enough they could find the career they like. When kids start to go to school teachers always ask them to think about what they want to be when they grow up. Almost everyone wants to be a policeman, a fireman, a teacher, or a doctor. When they grow up their way of thinking chances. Kids realize that there are a lot of other things that they could like. While others grow with the same mentality. Some of them make it happen, but some others change their mind in the way. It does not only happens when they are little. It could happen when they grow up, so they should give it a try to new things. It might be better than it looks.

Also, If they find the program they like and try it out they might find out if they truly like it. I had a friend, and he really loved psychology. He took the class this year because he thought it could be interesting. Midway through the year he found out that he is not so good at it. Although it was too late to back up he realized that psychology was not what he was looking for. Sometimes people believe they have what they want and that there is nothing that could stop it. They all should have a second plan in case plan A is not working so well. Everyone should be ready just incase there is a rush change, and they have to take a decision in less than a day. They have to hope the best and get ready for the worst.

Some students think this opportunity is lame for not having what they want to learn about. Some others see that there are a lot of benefits in it and go for it. I classify myself as the kind of student that takes new chances. I also have two careers in mind. I know if one of them fails me I still have the other one. This is why I should get the opportunity to go. I truly want to know if the careers I have in mind are what I want to do the rest of my life. If in any case there was not what I am interested in then I will try new things.",3.5,3.0,3.5,4.0,4.0,3.5
126555810C31,"An great author, Ralph Waldo Emerson, once wrote, ""Unless you try to do something beyond what you have already mastered, you will never grow."" Based on my experiences, I agree with Mr. Emerson. Because in order for a person to grow, that person will have to do an certen task, to help that person reach that goal or goals. There are difference things a person can grow in like: school, career, and hobbies.

In school a person learned skills to help a person in the further such as, wrighting, reading, vocabulary, history, and math etc. A person will learned, how to talk to other people, and how to act, by making friend. Also in school like, community collage, can help a person can also developing jobs skills, for further career.

Another thing you can grow in, is careers. A person can grow in their career by going up their working rank I am currently working at Searchs and I am the supervisor their. At first, I got hired as a cashier. It took me a while, but I got my way up there.

Hobbies is another thing you can grow in. People can learning and practicing skills to help them up prove their's hobbies. One of my many hobbies, is drawing. When I was six, I can only draw sticks finger. I have taken many art classes to help me develop my drawing skills. Now I can draw a human with details.

Going above in beyond, what you have mastered can help you with, learning a new skill, going up the jobs rank, or developing a skills for a hobbies.",2.5,3.0,3.5,3.0,2.5,3.0
